#Taxon	ERR17070056	ERR17070057	ERR17070058	ERR17070059	ERR17070060	ERR17070061	ERR17070062	ERR17070063	ERR17070064	ERR17070065	ERR17070066	ERR17070067	ERR17070068	ERR17070069	ERR17070070	ERR17070071	ERR17070072	ERR17070073	ERR17070074	ERR17070075	ERR17070076	ERR17070077	ERR17070078	ERR17070079	ERR17070080	ERR17070081	ERR17070082	ERR17070083	ERR17070084
k__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Cohnella	0	0	0	0	0	0	0	0	2	0	0	1	2	3	0	2	5	4	1	3	1	3	0	2	12	5	226	0	0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	473	0
k__Bacteria,p__Firmicutes,c__Desulfotomaculia,o__Desulfotomaculales,g__Desulfohalotomaculum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	155	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,f__Hungateiclostridiaceae,g__UCG-012	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	1	0	1	2	1	0	0	0	93	0	0
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	164	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium sensu stricto 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	201	0	0
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Sporomusaceae,g__Pelosinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	116	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__S5-A14a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	352	0	0	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerocolumna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1801	50	328	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Herbinix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	184	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium sensu stricto 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	2	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermincolales,f__Thermincolaceae,g__Thermincola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	108	0	0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ethanoligenenaceae,g__Ethanoligenens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0
